symbol,date,bs_asset_accruals,fy_period
0050.HK,20230912,7087021000.0,FY2023H1
0051.HK,20260408,15627000000.0,FY2025H2
0051.HK,20250909,15494000000.0,FY2025H1
0051.HK,20250407,15370000000.0,FY2024H2
0051.HK,20240905,15434000000.0,FY2024H1
0051.HK,20240402,16515000000.0,FY2023H2
0051.HK,20230907,17401000000.0,FY2023H1
0052.HK,20250729,1933923000.0,FY2025H2
0052.HK,20241230,2219558000.0,FY2025H1
0052.HK,20240730,2196275000.0,FY2024H2
0052.HK,20231228,2271423000.0,FY2024H1
0052.HK,20230728,2214295000.0,FY2023H2
0052.HK,20221229,2134710000.0,FY2023H1
0053.HK,20251020,16310797000.0,FY2025H2
0053.HK,20250314,14931291000.0,FY2025H1
0053.HK,20241016,15136338000.0,FY2024H2
0053.HK,20240314,15446941000.0,FY2024H1
0055.HK,20260424,932689527.0,FY2025H2
0055.HK,20250926,989941000.0,FY2025H1
0055.HK,20250429,1018049554.0,FY2024H2
0055.HK,20240926,1004853000.0,FY2024H1
0055.HK,20240429,950726552.0,FY2023H2
0055.HK,20230926,975566000.0,FY2023H1
0057.HK,20250724,3669056000.0,FY2025H2
0057.HK,20241219,3329538000.0,FY2025H1
0057.HK,20240725,3179854000.0,FY2024H2
0057.HK,20231214,3095027000.0,FY2024H1
0057.HK,20230719,3370340000.0,FY2023H2
0057.HK,20221214,3227731000.0,FY2023H1
0058.HK,20260417,212198000.0,FY2025H2
0058.HK,20250911,233570000.0,FY2025H1
0058.HK,20250422,270524000.0,FY2024H2
0058.HK,20240906,313287000.0,FY2024H1
0058.HK,20240425,303189000.0,FY2023H2
0058.HK,20230908,322405000.0,FY2023H1
0059.HK,20240930,20525718000.0,FY2024H1
0059.HK,20240430,20737711000.0,FY2023H2
0059.HK,20230922,23068879000.0,FY2023H1
0060.HK,20250729,502304000.0,FY2025H2
0060.HK,20241227,506238000.0,FY2025H1
0060.HK,20240729,534761999.99999994,FY2024H2
0060.HK,20231228,533535999.99999994,FY2024H1
0060.HK,20230727,569953000.0,FY2023H2
0060.HK,20221229,562249000.0,FY2023H1
0061.HK,20260424,57579000.0,FY2025H2
0061.HK,20250925,65803000.0,FY2025H1
0061.HK,20250428,147539000.0,FY2024H2
0061.HK,20240920,173054000.0,FY2024H1
0061.HK,20240426,5121140000.0,FY2023H2
0061.HK,20230928,6509133000.0,FY2023H1
0062.HK,20260416,22727325000.0,FY2025H2
0062.HK,20250918,22706100000.0,FY2025H1
0062.HK,20250414,23186692000.0,FY2024H2
0062.HK,20240912,23411300000.0,FY2024H1
0062.HK,20240417,23905673000.0,FY2023H2
0062.HK,20230914,23597600000.0,FY2023H1
0063.HK,20260428,1049022999.9999999,FY2025H2
0063.HK,20250930,1051983999.9999999,FY2025H1
0063.HK,20250428,1054603000.0000001,FY2024H2
0063.HK,20240925,1337312000.0,FY2024H1
0063.HK,20240426,547288000.0,FY2023H2
0063.HK,20230915,369079000.0,FY2023H1
0064.HK,20250716,4560124000.0,FY2025H2
0064.HK,20241212,4610122000.0,FY2025H1
0064.HK,20240717,4441040000.0,FY2024H2
0064.HK,20231212,4620643000.0,FY2024H1
0064.HK,20230719,4872687000.0,FY2023H2
0064.HK,20221213,5452024000.0,FY2023H1
0065.HK,20260428,161598000.0,FY2025H2
0065.HK,20250917,213499000.0,FY2025H1
0065.HK,20250729,211261000.0,FY2024H2
0065.HK,20240923,242270000.0,FY2024H1
0065.HK,20240425,211866000.0,FY2023H2
0065.HK,20230915,232070000.0,FY2023H1
0066.HK,20260416,354696000000.0,FY2025H2
0066.HK,20250911,345801000000.0,FY2025H1
0066.HK,20250410,339613000000.0,FY2024H2
0066.HK,20240912,329751000000.0,FY2024H1
0066.HK,20240411,324051000000.0,FY2023H2
0066.HK,20230907,317770000000.0,FY2023H1
0069.HK,20260423,12175566000.0,FY2025H2
0069.HK,20250922,11881650000.0,FY2025H1
0069.HK,20250424,11669901000.0,FY2024H2
0069.HK,20240919,11837136000.0,FY2024H1
0069.HK,20240425,11979174000.0,FY2023H2
0069.HK,20230921,11754858000.0,FY2023H1
0070.HK,20251030,1110682000.0,FY2025H2
0070.HK,20250328,1171846000.0,FY2025H1
0070.HK,20241030,1172438000.0,FY2024H2
0070.HK,20240328,1177461000.0,FY2024H1
0070.HK,20231030,1203130000.0,FY2023H2
0070.HK,20230331,1212130000.0,FY2023H1
0071.HK,20260423,16310240000.0,FY2025H2
0071.HK,20250922,16429187999.999998,FY2025H1
0071.HK,20250424,16450993999.999998,FY2024H2
0071.HK,20240923,16629222000.000002,FY2024H1
0071.HK,20240424,16402400000.000002,FY2023H2
0071.HK,20230920,16133628000.0,FY2023H1
0072.HK,20260430,496664000.0,FY2025H2
0072.HK,20250919,477580000.0,FY2025H1
0072.HK,20250430,520775999.99999994,FY2024H2
0072.HK,20240920,533548000.0,FY2024H1
0072.HK,20240426,604927000.0,FY2023H2
0072.HK,20230920,618344000.0,FY2023H1
0073.HK,20251031,132246000.00000001,FY2025H2
0073.HK,20250327,136228000.0,FY2025H1
0073.HK,20241029,140348000.0,FY2024H2
0073.HK,20240327,152846000.0,FY2024H1
0073.HK,20231030,159097000.0,FY2023H2
0073.HK,20230322,179848000.0,FY2023H1
0075.HK,20260428,22808127000.0,FY2025H2
0075.HK,20250911,22874487000.0,FY2025H1
0075.HK,20250424,18583445000.0,FY2024H2
0075.HK,20240913,16197999000.0,FY2024H1
0075.HK,20240425,15551877000.0,FY2023H2
0075.HK,20230913,18385089000.0,FY2023H1
0076.HK,20260427,453123000.0,FY2025H2
0076.HK,20250926,432325000.0,FY2025H1
0076.HK,20250425,439491000.0,FY2024H2
0076.HK,20240923,433867000.0,FY2024H1
0076.HK,20240425,403281000.0,FY2023H2
0076.HK,20230921,406179000.0,FY2023H1
0077.HK,20250714,193537000.0,FY2025H2
0077.HK,20241212,235343000.0,FY2025H1
0077.HK,20240717,273493000.0,FY2024H2
